ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,timing_signal,timing_score,rsi_14
DG.PA,Vinci SA,Industrials,65483747328.0,13.682081,11.877914,2.1396418,4.24,0.853,118.763,0.15433,0.0368466538909555,0.064770006,0.052,0.068,7772125184.0,91645706240.0,12375000064.0,9004000000.0,75702000000.0,40768999424.0,18498000896.0,55.313,133065000000.0,49554000000.0,,58097000000.0,4903000000.0,11886000000.0,0.6000501968243904,,555967094.0,0.0375547335336046,0.5818903913808268,0.8529528202833193,0.8527792415459815,0.2832600608725059,0.2800271833563723,0.5689099312366137,0.561954112641033,562417394.0,1510000000.0,118.35,[],{},0.1186878500564481,7.405713597255299,10.178332545535318,0.0982479198362059,0.0730882970214838,,0.12010457795326,1.0,20,20,0.805,10.0,22.0,0.6073272727272726,0.6073272727272726,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6465883333333333,True,0.8,0.875,strong_buy,4,5,stable,0.84,persistent,neutral,0.625,38.3320449966176
SGO.PA,Compagnie de Saint-Gobain S.A.,Industrials,36330053632.0,12.83045,10.760896,1.4889176,3.16,1.268,72.038,0.11723,0.0473897034650535,0.06202,-0.021,0.069,3115875072.0,47613194240.0,6773000192.0,4953000000.0,46483000000.0,18087999488.0,7582000128.0,49.808,60836000000.0,21360000000.0,,16844000000.0,2883000000.0,5638000000.0,0.2783598304756577,,492707578.0,0.0460805599662983,0.2766313800433746,1.2681073379244836,1.345002108814846,0.2914228417384443,0.2890404744158916,0.7640706160825826,0.7545772708124048,496879548.0,950000000.0,74.16,[],{},0.0857657713242541,7.029852781672562,9.61300105794468,0.1040257869495966,0.077939589024547,,0.1125886524822695,1.0,20,20,0.775,10.0,22.0,0.6236409090909092,0.6236409090909092,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6578116666666667,True,1.0,0.855,strong_buy,4,12,stable,0.815,persistent,neutral,0.625,44.09133254346363
SAN.PA,Sanofi,Healthcare,90999128064.0,19.199495,8.384456,1.257484,5.4,1.005,27.372,0.06576,0.0616142896573478,0.15954,0.06,-0.117,16672499712.0,106367328256.0,12826999808.0,9597000000.0,46716000000.0,20021000192.0,5544000000.0,60.462,126805000000.0,30952000000.0,,28345000000.0,7813000000.0,10750000000.0,0.720673859063276,,1207641512.0,0.0418681004231991,0.7018245043580364,1.09197389310284,1.460393662986078,0.16031702219944,0.1348363680175906,0.36840818579709,0.3334839380111146,1253591640.0,626000000.0,76.03,[],{},0.1832160380731799,8.292455745548569,11.083393587162655,0.0902250734069617,0.0520847032695391,,0.0974710542352224,1.0,20,20,0.8250000000000002,9.0,22.0,0.6330636363636365,0.6330636363636365,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7001,True,0.9,0.8458,strong_buy,4,5,stable,0.8354,persistent,neutral,0.5,50.62323129715633
SAP.DE,SAP SE,Technology,163691773952.0,22.467949,16.827642,3.6346664,1.95,1.148,,0.18320999,0.1017736846593331,0.20413,0.094,0.306,8631874560.0,151731486720.0,11564000256.0,9620000000.0,36800000000.0,0.0,10510999552.0,38.573,70362000000.0,20256000000.0,,17416000000.0,7161000000.0,9156000000.0,0.728641304347826,,1167559048.0,0.0420814418686099,0.7295177902621723,1.163068442811208,1.1215281417042238,0.1062505329581308,0.1434729312876328,0.5230095790341377,0.4603634306343198,1166589461.0,492000000.0,140.2,[],{},0.0527324883321941,13.12102069880826,15.772503817047816,0.0634014745914433,0.0445078453756504,,0.1816945567181656,0.95,19,20,0.8000000000000002,10.0,22.0,0.5488454545454545,0.5488454545454545,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.659165,True,0.9,0.8458,strong_buy,4,12,stable,0.7818,persistent,neutral,0.625,52.02827266485575
VOW.DE,Volkswagen AG,Consumer Cyclical,36644683776.0,5.986896,2.4104855,0.20801438,7.04,1.07,137.093,0.03105,0.0113628781613333,0.0212,-0.025,-0.295,11546653696.0,257376649216.0,21851000832.0,10794000000.0,321913000000.0,279032987648.0,73520996352.0,351.418,644467000000.0,247865000000.0,,226525000000.0,7323000000.0,15009000000.0,0.1591796541301531,,501295263.0,0.0179347611410875,0.1831821472024148,1.0942059375344884,1.1298937057395215,0.3046812327085793,0.3105047360978346,0.4995026898196494,0.5129600808968171,501295263.0,3244000000.0,73.1,[],{},0.3150976487225779,11.778712160363895,23.844418122660738,0.0419385365101294,0.1670314633826944,,0.0258265500954677,1.0,20,20,0.7714285714285714,9.0,22.0,0.5845863636363636,0.5845863636363636,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,dividend,garp,risk",0.6006683333333334,True,0.7,0.8437,strong_buy,4,5,stable,0.6461,persistent,neutral,0.625,38.330647023022
AD.AS,Koninklijke Ahold Delhaize N.V.,Consumer Defensive,29641408512.0,13.3412695,11.35408,2.001667,4.32,0.772,131.305,0.14973,0.0461203120862107,0.02476,-0.043,0.033,2654374912.0,45159071744.0,5391000064.0,3082000000.0,92352000000.0,19420000256.0,3865999872.0,16.796,49089000000.0,11923000000.0,,16794000000.0,2264000000.0,6989000000.0,0.2654409216909217,,886877259.0,0.0340264650283553,0.2664033036024038,0.7099559366440396,0.8350195447229248,0.3748905050011204,0.3918637398248524,1.88131760679582,1.7236410632305852,913583817.0,823000000.0,33.62,[],{},0.08954955399388,8.376752218120545,14.652521656067488,0.0682476384251517,0.0749553856175381,,0.0954327295246942,1.0,20,20,0.7791666666666666,8.0,22.0,0.5400318181818182,0.5400318181818182,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6087466666666667,True,0.8,0.8333,strong_buy,4,5,stable,0.8062,persistent,neutral,0.5,32.63221523553892
TTE.PA,TotalEnergies SE,Energy,168519909376.0,10.842857,9.010681,1.5034641,4.85,1.076,51.304,0.12512,0.0451014413083437,0.08201,0.034,0.571,10052124672.0,195578511360.0,36652998656.0,19925000000.0,182344000000.0,64250998784.0,29866000384.0,50.483414,291055000000.0,89469000000.0,,92563000000.0,13127000000.0,27343000000.0,0.2843361997104374,,2142883014.0,0.0551969091412218,0.2838914165942436,0.9665741170878211,1.0978967712596637,0.2063905447424026,0.1794967896962033,0.6264932744670252,0.6851800607383174,2248149843.0,2558000000.0,75.9,[],{},0.0596494782677089,5.335948449827155,9.815734572647427,0.1018772454164158,0.0922266151808513,,0.1003818793704532,1.0,20,20,0.7609812925170069,14.0,22.0,0.7064272727272728,0.7064272727272728,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7843600000000001,True,0.9,0.82,strong_buy,4,5,stable,0.7905,persistent,neutral,0.5,67.62613450102643
DHL.DE,Deutsche Post AG,Industrials,63841636352.0,18.459547,15.201221,2.7192984,3.37,1.095,121.823,0.15564999,0.0492973612323636,0.04247,-0.019,0.072,5193999872.0,85345165312.0,7825999872.0,5313000000.0,82855000000.0,29056000000.0,7793999872.0,20.976,71018000000.0,20946000000.0,,21410000000.0,3501000000.0,9119000000.0,0.164455977309758,,1119243239.0,0.047685152057245,0.1562574238608828,0.9783278841662776,0.951631949364697,0.3583176096200963,0.3211735241502683,1.1666760539581515,1.2048372093023256,1153216427.0,1107000000.0,57.04,[],{},0.0813575617542466,10.90533691641747,16.063460438923396,0.0622530869859708,0.0541725103004965,,0.1070996613449443,1.0,20,20,0.6799999999999999,8.0,22.0,0.5077909090909091,0.5077909090909091,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5894583333333333,True,0.8,0.72,strong_buy,4,5,stable,0.7,persistent,wait,0.25,60.944392524087554
ADYEN.AS,Adyen N.V.,Technology,25260890112.0,23.803862,17.153606,4.7793508,,1.722,4.775,0.22329001,0.0866883486938608,0.44712,0.169,0.119,534254016.0,14685727744.0,1196995968.0,1096267000.0,2646897000.0,252366000.0,10827529216.0,167.596,12256849000.0,11689803000.0,,6787358000.0,1062526000.0,1030422000.0,0.8884433357248128,,31536692.0,0.0809750904113588,0.8931407741100045,1.722290617350669,1.551525949324971,0.020589794326421,0.0199781554568601,0.2159524850147048,0.1947962058519533,31485187.0,19700000.0,801.0,[],{},0.0211494533102856,12.268819725882318,13.396123156128937,0.074648462719043,0.0420099898075362,,0.2004330933170929,0.95,19,20,0.6911764705882353,5.0,22.0,0.4572454545454545,0.4572454545454545,0.2272727272727272,0.0,1.0,0.2272727272727272,22.0,3,5,"cheapness,quality,risk",0.4709966666666666,True,0.83335,0.7344,buy,3,7,stable,0.4063,persistent,neutral,0.5,39.82289693818809
DTE.DE,Deutsche Telekom AG,Communication Services,127675416576.0,14.580111,10.459936,2.0140426,3.83,1.18,161.874,0.14428,0.0331608971284022,0.07222,0.004,-0.272,18050500608.0,296285700096.0,41964998656.0,25612000000.0,118343000000.0,148968996864.0,8887000064.0,13.103,289769000000.0,41177000000.0,,36848000000.0,9609000000.0,40627000000.0,0.6107585577516202,,4838022420.0,0.03675877402979,0.6113229839024941,1.1174826313504125,1.0562503552953215,0.4847378429024498,0.475991526035142,0.4084046257536175,0.3774948021539087,4900429250.0,6547000000.0,26.39,[],{},0.1413780435739191,7.060305244490653,11.568237548649073,0.0864435914109301,0.0685865834629105,,0.1012648218218336,1.0,20,20,0.6639020311376582,8.0,22.0,0.5619818181818182,0.5619818181818182,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.615775,True,0.9,0.6976,buy,3,5,stable,0.6808,persistent,neutral,0.5,48.723592821527994
