Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 23/03/2026 09:32:50 GB00BDCPN049 USD $93.6300 122 JPMX VHTG340920260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:17 GB00BDCPN049 USD $93.7700 100 INCR VHTG393220260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:17 GB00BDCPN049 USD $93.7700 18 UBSS VHTG393320260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:45 GB00BDCPN049 USD $93.6300 100 INCR VHTG437620260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:45 GB00BDCPN049 USD $93.7000 60 NASD VHTG437520260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:46 GB00BDCPN049 USD $93.6300 100 JPMX VHTG438320260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:46 GB00BDCPN049 USD $93.5900 38 PCSE VHTG438620260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:46 GB00BDCPN049 USD $93.5900 38 PCSE VHTG438720260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:46 GB00BDCPN049 USD $93.5900 4 PCSE VHTG438820260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:54 GB00BDCPN049 USD $93.5100 40 BATS VHTG442320260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:54 GB00BDCPN049 USD $93.5500 38 EPRL VHTG442220260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:54 GB00BDCPN049 USD $93.5500 2 EPRL VHTG442420260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:54 GB00BDCPN049 USD $93.4700 80 NASD VHTG442520260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:56 GB00BDCPN049 USD $93.3500 38 BATS VHTG443120260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:33:56 GB00BDCPN049 USD $93.3500 22 BATS VHTG443320260323E
