Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument 
Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 08/09/2026 09:33:27 GB00BDCPN049 USD $106.3350 70 IEXG VHTG183220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:33:27 GB00BDCPN049 USD $106.3350 10 IEXG VHTG183320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:33:27 GB00BDCPN049 USD $106.3350 15 IEXG VHTG183420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:33:27 GB00BDCPN049 USD $106.3350 25 IEXG VHTG183520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:33:27 GB00BDCPN049 USD $106.3350 36 IEXG VHTG183620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:33:28 GB00BDCPN049 USD $106.3300 39 IEXG VHTG184120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:33:41 GB00BDCPN049 USD $106.3300 25 IEXG VHTG188920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:33:50 GB00BDCPN049 USD $106.3100 4 UBSS VHTG194820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:33:57 GB00BDCPN049 USD $106.3250 45 IEXG VHTG197320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:33:59 GB00BDCPN049 USD $106.3250 70 IEXG VHTG197920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:03 GB00BDCPN049 USD $106.3200 25 IEXG VHTG206120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:03 GB00BDCPN049 USD $106.3200 23 IEXG VHTG206220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:03 GB00BDCPN049 USD $106.3250 105 NASD VHTG204020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2200 25 BATS VHTG209220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2200 75 BATS VHTG209720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2200 25 EDGX VHTG209120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2200 75 EDGX VHTG209620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2100 25 MEMX VHTG209420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2100 25 MEMX VHTG210320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2100 10 MEMX VHTG210420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2200 14 NASD VHTG209520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2200 25 NASD VHTG209820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2200 5 NASD VHTG209920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2200 25 NASD VHTG210020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2200 25 NASD VHTG210120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2200 6 NASD VHTG210220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:09 GB00BDCPN049 USD $106.2200 3 UBSS VHTG209320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:19 GB00BDCPN049 USD $106.2400 100 NASD VHTG215120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:21 GB00BDCPN049 USD $106.1200 25 BATS VHTG215920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:21 GB00BDCPN049 USD $106.1200 25 BATS VHTG216320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:21 GB00BDCPN049 USD $106.1200 25 EDGX VHTG216020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:21 GB00BDCPN049 USD $106.1200 25 EDGX VHTG216220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:21 GB00BDCPN049 USD $106.1200 25 NASD VHTG216420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:21 GB00BDCPN049 USD $106.1300 40 PCSE VHTG216120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:21 GB00BDCPN049 USD $106.1200 13 UBSS VHTG216520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:34:59 GB00BDCPN049 USD $106.3300 25 PCSE VHTG240920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:35:00 GB00BDCPN049 USD $106.3200 13 NASD VHTG243120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:35:00 GB00BDCPN049 USD $106.3200 87 NASD VHTG243220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:35:00 GB00BDCPN049 USD $106.3300 15 PCSE VHTG243320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:35:30 GB00BDCPN049 USD $106.5800 12 BAML VHTG269520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:35:30 GB00BDCPN049 USD $106.5800 6 BATS VHTG269720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:35:30 GB00BDCPN049 USD $106.5900 40 BATS VHTG269620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:35:30 GB00BDCPN049 USD $106.5800 100 NASD VHTG269920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:35:30 GB00BDCPN049 USD $106.6200 25 NYSE VHTG270020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:35:30 GB00BDCPN049 USD $106.6200 15 NYSE VHTG270120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:35:30 GB00BDCPN049 USD $106.5800 55 UBSS VHTG269820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:36:43 GB00BDCPN049 USD $106.5900 40 NASD VHTG310720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:36:43 GB00BDCPN049 USD $106.6100 40 NASD VHTG310520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:36:43 GB00BDCPN049 USD $106.6100 6 NASD VHTG310620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:37:32 GB00BDCPN049 USD $106.7200 25 IEXG VHTG344820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:23 GB00BDCPN049 USD $106.8250 25 NASD VHTG368720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:23 GB00BDCPN049 USD $106.8250 25 NASD VHTG368820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8250 100 IEXG VHTG369520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8250 25 IEXG VHTG369620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8250 25 IEXG VHTG369720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8250 25 IEXG VHTG369820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8250 25 IEXG VHTG369920260908E
# Classification - Internal
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8250 100 IEXG VHTG370020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8250 25 IEXG VHTG370120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8250 25 IEXG VHTG370220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8250 25 IEXG VHTG370320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8250 21 IEXG VHTG370420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8000 6 NASD VHTG370520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8000 6 NASD VHTG370620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8000 6 NASD VHTG370720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8000 6 NASD VHTG370820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8000 6 NASD VHTG370920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8000 6 NASD VHTG371020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8000 6 NASD VHTG371120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8000 6 NASD VHTG371220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8000 6 NASD VHTG371320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:25 GB00BDCPN049 USD $106.8000 6 NASD VHTG371420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:56 GB00BDCPN049 USD $106.8150 25 IEXG VHTG383620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:56 GB00BDCPN049 USD $106.8150 31 IEXG VHTG384220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:56 GB00BDCPN049 USD $106.8150 13 INCR VHTG383720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:56 GB00BDCPN049 USD $106.8150 13 INCR VHTG383820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:56 GB00BDCPN049 USD $106.8150 13 INCR VHTG383920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:56 GB00BDCPN049 USD $106.8150 13 INCR VHTG384020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:38:56 GB00BDCPN049 USD $106.8150 13 INCR VHTG384120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:06 GB00BDCPN049 USD $106.8100 53 IEXG VHTG387720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:10 GB00BDCPN049 USD $106.7300 25 BATS VHTG389020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:10 GB00BDCPN049 USD $106.7300 22 EDGX VHTG388720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:10 GB00BDCPN049 USD $106.7300 25 EDGX VHTG388920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:10 GB00BDCPN049 USD $106.7300 45 NASD VHTG388620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:10 GB00BDCPN049 USD $106.7300 55 NASD VHTG388820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:10 GB00BDCPN049 USD $106.7500 55 NASD VHTG388420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:10 GB00BDCPN049 USD $106.7500 5 NASD VHTG388520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:10 GB00BDCPN049 USD $106.7100 20 PCSE VHTG389120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:10 GB00BDCPN049 USD $106.7100 30 PCSE VHTG389220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:10 GB00BDCPN049 USD $106.7300 11 UBSS VHTG388320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:11 GB00BDCPN049 USD $106.6800 26 PCSE VHTG389420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:11 GB00BDCPN049 USD $106.6800 26 PCSE VHTG389520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:11 GB00BDCPN049 USD $106.6800 8 PCSE VHTG389620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:39:11 GB00BDCPN049 USD $106.7100 10 PCSE VHTG389320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:40:09 GB00BDCPN049 USD $106.5900 40 BATS VHTG432220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:40:09 GB00BDCPN049 USD $106.5900 50 BATS VHTG432320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:40:09 GB00BDCPN049 USD $106.5900 50 BATS VHTG432620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:40:09 GB00BDCPN049 USD $106.5900 25 EDGX VHTG432420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:40:09 GB00BDCPN049 USD $106.5900 100 NASD VHTG432520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:40:09 GB00BDCPN049 USD $106.6200 11 PCSE VHTG432720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:40:09 GB00BDCPN049 USD $106.6200 11 PCSE VHTG432820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:40:09 GB00BDCPN049 USD $106.6200 11 PCSE VHTG432920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:40:09 GB00BDCPN049 USD $106.6200 11 PCSE VHTG433020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:40:09 GB00BDCPN049 USD $106.6200 11 PCSE VHTG433120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:40:09 GB00BDCPN049 USD $106.6200 5 PCSE VHTG433220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:40:16 GB00BDCPN049 USD $106.5300 25 NASD VHTG439020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:41:34 GB00BDCPN049 USD $106.5550 13 IEXG VHTG462720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:41:55 GB00BDCPN049 USD $106.5950 132 IEXG VHTG469420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:42:15 GB00BDCPN049 USD $106.5900 22 PCSE VHTG486520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:42:17 GB00BDCPN049 USD $106.6300 40 INCR VHTG488520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:42:17 GB00BDCPN049 USD $106.6300 1 UBSS VHTG488620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:42:17 GB00BDCPN049 USD $106.6300 39 UBSS VHTG488720260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:42:19 GB00BDCPN049 USD $106.6300 16 IEXG VHTG489520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:43:03 GB00BDCPN049 USD $106.7300 25 IEXG VHTG515920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:43:03 GB00BDCPN049 USD $106.7300 25 IEXG VHTG516420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:43:03 GB00BDCPN049 USD $106.7300 25 PCSE VHTG516020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:43:03 GB00BDCPN049 USD $106.7300 25 PCSE VHTG516120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:43:03 GB00BDCPN049 USD $106.7300 25 PCSE VHTG516220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:43:03 GB00BDCPN049 USD $106.7300 25 PCSE VHTG516320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:43:03 GB00BDCPN049 USD $106.7300 17 PCSE VHTG516520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:43:04 GB00BDCPN049 USD $106.7300 25 IEXG VHTG516820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:43:04 GB00BDCPN049 USD $106.7300 25 IEXG VHTG516920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:43:51 GB00BDCPN049 USD $106.7400 13 IEXG VHTG553320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:43:51 GB00BDCPN049 USD $106.7450 25 PCSE VHTG553420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:43:51 GB00BDCPN049 USD $106.7450 25 PCSE VHTG553520260908E
