Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 27/07/2026 09:32:39 GB00BDCPN049 USD $106.4000 10 IEXG VHTG117720260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:32:49 GB00BDCPN049 USD $106.5400 47 IEXG VHTG123020260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:32:49 GB00BDCPN049 USD $106.5400 23 IEXG VHTG123120260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:32:49 GB00BDCPN049 USD $106.5400 17 IEXG VHTG123220260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:32:49 GB00BDCPN049 USD $106.5400 8 IEXG VHTG123320260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:32:49 GB00BDCPN049 USD $106.5400 25 IEXG VHTG123420260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:32:49 GB00BDCPN049 USD $106.5400 4 IEXG VHTG123520260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:00 GB00BDCPN049 USD $106.5700 25 BATS VHTG129620260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:00 GB00BDCPN049 USD $106.5700 25 EDGX VHTG129520260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:00 GB00BDCPN049 USD $106.5500 19 IEXG VHTG129720260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:20 GB00BDCPN049 USD $106.6000 25 IEXG VHTG143020260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:20 GB00BDCPN049 USD $106.6000 25 NASD VHTG142820260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:20 GB00BDCPN049 USD $106.6000 25 NASD VHTG142920260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:20 GB00BDCPN049 USD $106.6000 25 NASD VHTG143120260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:20 GB00BDCPN049 USD $106.6000 25 NASD VHTG143220260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:20 GB00BDCPN049 USD $106.6000 8 NASD VHTG143320260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:20 GB00BDCPN049 USD $106.6000 25 PCSE VHTG142420260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:20 GB00BDCPN049 USD $106.6000 25 PCSE VHTG142520260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:20 GB00BDCPN049 USD $106.6000 25 PCSE VHTG142620260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:20 GB00BDCPN049 USD $106.6000 25 PCSE VHTG142720260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:20 GB00BDCPN049 USD $106.6000 75 PCSE VHTG143820260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:33 GB00BDCPN049 USD $106.5950 70 IEXG VHTG155320260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:33 GB00BDCPN049 USD $106.5700 12 MEMX VHTG155120260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:33 GB00BDCPN049 USD $106.5700 28 MEMX VHTG155220260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:36 GB00BDCPN049 USD $106.5100 100 BATS VHTG155820260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:36 GB00BDCPN049 USD $106.5000 100 EDGX VHTG156320260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:36 GB00BDCPN049 USD $106.5100 100 EDGX VHTG155920260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:36 GB00BDCPN049 USD $106.5300 100 ICBX VHTG155620260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:36 GB00BDCPN049 USD $106.6000 70 IEXG VHTG155420260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:36 GB00BDCPN049 USD $106.6000 22 IEXG VHTG155520260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:36 GB00BDCPN049 USD $106.5200 40 MEMX VHTG156020260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:36 GB00BDCPN049 USD $106.5000 25 NASD VHTG156420260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:36 GB00BDCPN049 USD $106.5100 100 NASD VHTG156220260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:36 GB00BDCPN049 USD $106.5300 25 NASD VHTG155720260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:33:36 GB00BDCPN049 USD $106.5100 100 UBSS VHTG156120260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:13 GB00BDCPN049 USD $106.5700 100 BATS VHTG172620260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:13 GB00BDCPN049 USD $106.5700 25 MEMX VHTG172820260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:13 GB00BDCPN049 USD $106.5700 25 NASD VHTG172720260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:13 GB00BDCPN049 USD $106.5700 25 NASD VHTG172920260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:34:13 GB00BDCPN049 USD $106.5700 25 NASD VHTG173020260727E
