Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 20/07/2026 09:32:48 GB00BDCPN049 USD $105.2250 13 UBSS VHTG189420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:32:48 GB00BDCPN049 USD $105.2250 13 UBSS VHTG189520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:32:48 GB00BDCPN049 USD $105.2250 13 UBSS VHTG189620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:32:48 GB00BDCPN049 USD $105.2250 11 UBSS VHTG189720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:32:48 GB00BDCPN049 USD $105.2250 2 UBSS VHTG189820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:32:48 GB00BDCPN049 USD $105.2250 13 UBSS VHTG189920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:32:48 GB00BDCPN049 USD $105.2250 13 UBSS VHTG190020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:32:48 GB00BDCPN049 USD $105.2250 12 UBSS VHTG190120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 37 UBSS VHTG218420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 17 UBSS VHTG218520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 46 UBSS VHTG218620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 12 UBSS VHTG218720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 13 UBSS VHTG218920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 3 UBSS VHTG219020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 10 UBSS VHTG219120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 13 UBSS VHTG219220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 13 UBSS VHTG219320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 5 UBSS VHTG219420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 8 UBSS VHTG219520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 13 UBSS VHTG219620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 13 UBSS VHTG219720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 13 UBSS VHTG219820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 13 UBSS VHTG219920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 13 UBSS VHTG220020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 13 UBSS VHTG220120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:21 GB00BDCPN049 USD $105.2800 13 UBSS VHTG220220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:27 GB00BDCPN049 USD $105.2800 13 UBSS VHTG222820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:27 GB00BDCPN049 USD $105.2800 13 UBSS VHTG222920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:27 GB00BDCPN049 USD $105.2800 13 UBSS VHTG223020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:27 GB00BDCPN049 USD $105.2800 3 UBSS VHTG223120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:29 GB00BDCPN049 USD $105.2800 38 BAML VHTG223520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:30 GB00BDCPN049 USD $105.2100 12 UBSS VHTG224220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:30 GB00BDCPN049 USD $105.2100 12 UBSS VHTG224320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:34 GB00BDCPN049 USD $105.1500 13 UBSS VHTG226320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:38 GB00BDCPN049 USD $105.1250 6 INCR VHTG227520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:38 GB00BDCPN049 USD $105.1300 20 UBSS VHTG227620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:38 GB00BDCPN049 USD $105.1300 13 UBSS VHTG227720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:33:43 GB00BDCPN049 USD $105.1350 20 UBSS VHTG229420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:07 GB00BDCPN049 USD $105.1950 122 UBSS VHTG237820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:08 GB00BDCPN049 USD $105.1950 1 UBSS VHTG237920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG250720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG250820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 1 UBSS VHTG250920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 6 UBSS VHTG251020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 7 UBSS VHTG251120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG251220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG251320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 8 UBSS VHTG251420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 5 UBSS VHTG251520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG251620260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG251720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 5 UBSS VHTG251820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 8 UBSS VHTG251920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG252020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG252120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG252220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:34:22 GB00BDCPN049 USD $105.1950 13 UBSS VHTG252320260720E
