Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 10/08/2026 09:35:22 GB00BDCPN049 USD $106.9800 46 UBSS VHTG206420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:35:32 GB00BDCPN049 USD $106.9200 25 NASD VHTG210120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:35:32 GB00BDCPN049 USD $106.9200 15 NASD VHTG210220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:35:35 GB00BDCPN049 USD $106.8800 25 NASD VHTG211520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:35:41 GB00BDCPN049 USD $106.8800 15 NASD VHTG213320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:35:46 GB00BDCPN049 USD $106.8400 25 PCSE VHTG214220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:35:47 GB00BDCPN049 USD $106.8400 15 PCSE VHTG214620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:36:15 GB00BDCPN049 USD $106.8100 25 BATS VHTG221020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:36:15 GB00BDCPN049 USD $106.8100 15 BATS VHTG221120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:36:15 GB00BDCPN049 USD $106.7600 25 NYSE VHTG221320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:36:15 GB00BDCPN049 USD $106.7900 100 UBSS VHTG221220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:36:20 GB00BDCPN049 USD $106.7600 15 NYSE VHTG224020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:37:34 GB00BDCPN049 USD $106.8400 7 BAML VHTG248920260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:37:38 GB00BDCPN049 USD $106.7400 21 INCR VHTG249720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:37:38 GB00BDCPN049 USD $106.7500 20 MEMX VHTG249620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:37:40 GB00BDCPN049 USD $106.7000 40 BATS VHTG250320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:37:42 GB00BDCPN049 USD $106.6600 20 PCSE VHTG251420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:37:44 GB00BDCPN049 USD $106.6200 20 NYSE VHTG251620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:38:31 GB00BDCPN049 USD $106.5800 25 MEMX VHTG265020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:38:31 GB00BDCPN049 USD $106.5800 15 MEMX VHTG265120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:38:40 GB00BDCPN049 USD $106.5800 40 BATS VHTG268620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:38:40 GB00BDCPN049 USD $106.5900 100 UBSS VHTG268320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:39:03 GB00BDCPN049 USD $106.5700 1 NASD VHTG274620260810E
