Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument 
Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 31/08/2026 09:35:04 GB00BDCPN049 USD $108.2600 13 UBSS VHTG68220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:35:04 GB00BDCPN049 USD $108.2600 13 UBSS VHTG68320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:35:08 GB00BDCPN049 USD $108.2550 20 CGXS VHTG69920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:35:08 GB00BDCPN049 USD $108.2200 2 NASD VHTG69620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:35:08 GB00BDCPN049 USD $108.2550 59 UBSS VHTG69720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:35:08 GB00BDCPN049 USD $108.2550 141 UBSS VHTG69820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:35:19 GB00BDCPN049 USD $108.2550 12 CGXS VHTG71420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:35:19 GB00BDCPN049 USD $108.2200 40 NASD VHTG71320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.4950 13 BAML VHTG108020260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.4950 13 BAML VHTG108220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.4950 13 BAML VHTG108820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.4950 13 BARX VHTG108420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.4900 25 IEXG VHTG108620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.4900 25 IEXG VHTG109420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.5000 25 IEXG VHTG107920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.5000 25 IEXG VHTG109320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.5000 79 IEXG VHTG109520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.5000 13 UBSS VHTG108120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.5000 13 UBSS VHTG108320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.5000 13 UBSS VHTG108520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.5000 13 UBSS VHTG108720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.5000 13 UBSS VHTG108920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.5000 13 UBSS VHTG109020260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.5000 13 UBSS VHTG109120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:39:18 GB00BDCPN049 USD $108.5000 9 UBSS VHTG109220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:15 GB00BDCPN049 USD $108.5700 70 BATY VHTG116920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:15 GB00BDCPN049 USD $108.5700 4 IEXG VHTG117020260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:15 GB00BDCPN049 USD $108.5700 100 NASD VHTG117220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:15 GB00BDCPN049 USD $108.5700 32 NASD VHTG117320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:15 GB00BDCPN049 USD $108.5700 100 UBSS VHTG116820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:15 GB00BDCPN049 USD $108.5700 70 XCIS VHTG117120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:25 GB00BDCPN049 USD $108.5600 76 UBSS VHTG119220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5100 25 IEXG VHTG120720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5100 25 IEXG VHTG120820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5100 25 IEXG VHTG121120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5100 25 IEXG VHTG121320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5100 25 IEXG VHTG121620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5150 25 IEXG VHTG120620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5150 25 IEXG VHTG120920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5150 25 IEXG VHTG121220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5150 25 IEXG VHTG121420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5150 25 IEXG VHTG121520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5150 25 IEXG VHTG121720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5150 25 IEXG VHTG121820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5150 25 IEXG VHTG121920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:32 GB00BDCPN049 USD $108.5150 25 IEXG VHTG122020260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:35 GB00BDCPN049 USD $108.5100 91 UBSS VHTG122720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:36 GB00BDCPN049 USD $108.5000 38 IEXG VHTG122920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:43 GB00BDCPN049 USD $108.4100 25 NASD VHTG124320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:40:43 GB00BDCPN049 USD $108.4100 15 NASD VHTG124420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:41:01 GB00BDCPN049 USD $108.3750 36 UBSS VHTG127420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:41:05 GB00BDCPN049 USD $108.3300 40 MEMX VHTG129620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:41:05 GB00BDCPN049 USD $108.3600 40 MEMX VHTG129520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:41:09 GB00BDCPN049 USD $108.2900 40 PCSE VHTG130320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:41:39 GB00BDCPN049 USD $108.2650 10 UBSS VHTG140220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:41:55 GB00BDCPN049 USD $108.2800 20 UBSS VHTG145020260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:41:55 GB00BDCPN049 USD $108.2800 10 UBSS VHTG145120260831E
# Classification - Internal
Coca-Cola Europacific Partners PLC 31/08/2026 09:41:59 GB00BDCPN049 USD $108.2800 13 UBSS VHTG145720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:10 GB00BDCPN049 USD $108.2800 38 CGXS VHTG148820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:42:10 GB00BDCPN049 USD $108.2600 25 NASD VHTG148920260831E
