Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:25 GB00BDCPN049 USD $110.6400 4 UBSS VHTG2431020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:27 GB00BDCPN049 USD $110.6400 40 CGXS VHTG2431320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:36 GB00BDCPN049 USD $110.5600 42 UBSS VHTG2433520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:47 GB00BDCPN049 USD $110.5950 11 BAML VHTG2439420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:56 GB00BDCPN049 USD $110.5900 37 UBSS VHTG2445120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:56 GB00BDCPN049 USD $110.5900 44 UBSS VHTG2445220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:57 GB00BDCPN049 USD $110.5000 40 PCSE VHTG2445320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:58 GB00BDCPN049 USD $110.4300 122 JPMX VHTG2445420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:58 GB00BDCPN049 USD $110.3900 40 NASD VHTG2445620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:35:00 GB00BDCPN049 USD $110.3400 8 PCSE VHTG2447320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:35:00 GB00BDCPN049 USD $110.3400 32 PCSE VHTG2447420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:35:01 GB00BDCPN049 USD $110.3300 20 PCSE VHTG2447520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:35:18 GB00BDCPN049 USD $110.1900 25 BATS VHTG2454620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:35:18 GB00BDCPN049 USD $110.1900 15 BATS VHTG2454720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:35:44 GB00BDCPN049 USD $110.0400 40 PCSE VHTG2468720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:35:44 GB00BDCPN049 USD $110.0800 20 PCSE VHTG2468620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:36:10 GB00BDCPN049 USD $109.9300 20 NASD VHTG2477420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:36:39 GB00BDCPN049 USD $109.8700 20 BATS VHTG2491720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:36:39 GB00BDCPN049 USD $109.9300 20 EDGA VHTG2491620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:37:04 GB00BDCPN049 USD $109.6700 40 MEMX VHTG2500420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:37:17 GB00BDCPN049 USD $109.6200 43 PCSE VHTG2506620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:37:20 GB00BDCPN049 USD $109.8500 5 EDGA VHTG2507420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:37:20 GB00BDCPN049 USD $109.8500 20 EDGA VHTG2507520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:37:20 GB00BDCPN049 USD $109.8500 15 EDGA VHTG2507620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:37:21 GB00BDCPN049 USD $109.8100 40 MEMX VHTG2507920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:38:50 GB00BDCPN049 USD $109.9400 3 MEMX VHTG2547920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:38:50 GB00BDCPN049 USD $109.9400 17 MEMX VHTG2548020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:38:50 GB00BDCPN049 USD $109.9400 68 UBSS VHTG2548120260803E
