ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,timing_signal,timing_score,rsi_14
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,Consumer Cyclical,33961406464.0,5.5745907,6.3079247,0.36378482,7.54,1.148,119.855,0.06592,0.0274244549135795,0.04923,-0.079,-0.279,1710268032.0,138189373440.0,13793000448.0,9981000000.0,133453000000.0,116789002240.0,15642000384.0,159.215,265967000000.0,91648000000.0,,81724000000.0,7294000000.0,8228000000.0,0.1543239942151918,,607128285.0,0.027228721258572,0.1608020789436718,1.1214331163428124,1.0991914607305364,0.3321840679482793,0.3193641402596626,0.5017652565919832,0.5318004571735915,622259319.0,562000000.0,57.92,[],{},0.0503591638294759,10.018804390022158,13.845243306281937,0.0722269719555072,0.1793853672521643,,0.0541730214987815,1.0,20,20,0.8178571428571428,8.0,22.0,0.596509090909091,0.596509090909091,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,3,5,"cheapness,dividend,garp",0.5998433333333333,False,0.63335,0.8929,hold,2,neutral,0.5,42.31732816060459
BNP.PA,BNP PARIBAS ACT.A,Financial Services,116132159488.0,9.16609,8.069294,0.9669647,5.43,,,0.104770005,0.0043770437392878,0.26490998,0.188,0.374,,,,,68804000000.0,831044976640.0,1226712023040.0,109.58,2792981000000.0,,,,12225000000.0,46571000000.0,,,1100099307.0,0.0043210342089268,,,,0.1426747980025642,0.1404465512320566,0.0246346108333712,0.0243520297178314,1129554473.0,50329000000.0,105.96,[],{},,,,,0.1090977723325867,,,0.65,13,20,0.7857142857142857,9.0,22.0,0.6231136363636364,0.6231136363636364,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,3,5,"cheapness,dividend,garp",0.6763566666666667,False,0.53335,0.8881,hold,2,neutral,0.5,42.175517030070566
ISP.MI,INTESA SANPAOLO,Financial Services,119102275584.0,12.169642,10.469314,1.7429668,5.6,,,0.14261,0.0097105180088906,0.36964,0.064,0.139,,247859593216.0,,,28529000000.0,265553002496.0,137623994368.0,3.91,959887000000.0,,,,9321000000.0,8235000000.0,,,17387732025.0,0.0092854808552585,,,,0.1451347919077975,0.1570452755589128,0.0297212067670465,0.0296651076573608,17778041443.0,10448000000.0,6.815,[],{},,,,,0.0821716859049756,,,0.7,14,20,0.6233766233766235,8.0,22.0,0.5142545454545454,0.5142545454545454,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,3,5,"cheapness,dividend,garp",0.5945083333333334,False,0.53335,0.6923,hold,2,wait,0.25,63.354954803349045
DBK.DE,Deutsche Bank Aktiengesellschaft,Financial Services,60672913408.0,9.81459,8.436118,0.76972586,3.07,,,0.08891,0.0048297396567547,0.22715001,0.087,0.188,,-28711204864.0,,,32099000000.0,544725991424.0,636277030912.0,41.95,1435067000000.0,,,,6931000000.0,47064000000.0,,,1939573264.0,0.0024265108201765,,,,0.1145953464193657,0.1092074046787107,0.0223675967742272,0.0216605379126095,1983625755.0,28768000000.0,32.29,[],{},,,,,0.1018891262905531,,,0.7,14,20,0.6168831168831169,8.0,22.0,0.5764772727272728,0.5764772727272728,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,3,5,"cheapness,dividend,garp",0.6064733333333333,False,0.53335,0.6783,hold,2,neutral,0.5,51.770554982590596
MBG.DE,Mercedes-Benz Group AG,Consumer Cyclical,42883604480.0,8.483901,6.5085454,0.45143962,7.77,1.321,110.208,0.055960003,0.0201240086743441,0.03885,-0.033,0.2,-3902625024.0,128318791680.0,12000000000.0,4870000000.0,132214000000.0,102230999040.0,16542999552.0,99.227,255466000000.0,102132000000.0,,73768000000.0,5141000000.0,18006000000.0,0.1689155460087434,,957330201.0,0.0385155277159352,0.1962718243883676,1.3845027654267432,1.3600486461925,0.3220271973569868,0.3510886381645975,0.5175404946255079,0.5493905890343761,962903703.0,398000000.0,44.795,[],{},-0.0910050605895337,10.69323264,26.34882786036961,0.0379523523892334,0.1178703051815432,,0.0268027165956697,1.0,20,20,0.58125,8.0,22.0,0.5639045454545454,0.5639045454545454,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,3,5,"cheapness,dividend,garp",0.644455,False,0.63335,0.6688,hold,2,neutral,0.5,40.46214215940141
NDA-FI.HE,Nordea Bank Abp,Financial Services,57965309952.0,12.467154,10.866245,1.8601612,7.59,,,0.15337,0.0073966531672652,0.4058,0.015,0.029,,231760887808.0,,,11719000000.0,240998006784.0,67302998016.0,9.182,654350000000.0,,,,4840000000.0,-3164000000.0,,,3419853669.0,0.0081157606821153,,,,0.3157041338733093,0.316530708825629,0.0179093757163597,0.0193132324277498,3487931963.0,10083000000.0,17.08,[],{},,,,,0.0802107682314664,,,0.7,14,20,0.6103896103896104,8.0,22.0,0.4630545454545454,0.4630545454545454,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,4,5,"cheapness,quality,dividend,garp",0.5118133333333333,False,0.36665,0.6573,hold,2,neutral,0.5,49.71806137650373
BAYN.DE,Bayer Aktiengesellschaft,Healthcare,47755632640.0,,10.187274,1.6142529,0.22,1.043,129.362,-0.056900002,-0.0346275623917888,-0.0383,0.012,,6562999808.0,81621401600.0,10133000192.0,6139000000.0,45575000000.0,38430998528.0,5081999872.0,30.113,104541000000.0,32911000000.0,,32585000000.0,-3620000000.0,5930000000.0,0.587558968732858,,982424082.0,-0.0230221019395579,0.5436209930051925,1.0100046033450971,1.1896932854379665,0.3486957270353258,0.3671357690572846,0.4359533580126457,0.4204420387911592,982424082.0,2265000000.0,48.61,[],{},0.1374288109106285,8.055008393707528,13.295553282293533,0.0752131166539536,,,0.0853160264606148,0.95,19,20,0.5777777777777778,2.0,22.0,0.3518318181818181,0.3518318181818181,0.0909090909090909,0.0,1.0,0.0909090909090909,22.0,1,5,cheapness,0.2773366666666667,False,0.55,0.6444,hold,2,neutral,0.5,54.63834837260616
ADS.DE,adidas AG                     N,Consumer Cyclical,26434494464.0,19.358974,12.945072,4.438305,1.8,1.391,94.127,0.24324,0.0661336491955384,0.052950002,0.133,-0.024,952300032.0,32103303168.0,2664000000.0,2061000000.0,24811000000.0,5977999872.0,1562000000.0,34.022,20262000000.0,11977000000.0,,9094000000.0,1340000000.0,751000000.0,0.5161017290717826,,178665018.0,0.0369886226095376,0.5077481737955496,1.3170222124477675,1.2409048264359428,0.27420787681374,0.2704914064391188,1.2245089329779884,1.1465988864681675,178549084.0,228000000.0,151.0,[],{},0.0360249004684729,12.050789477477478,15.576566311499272,0.0641990012434099,0.0516556300969255,,0.184545128939828,1.0,20,20,0.5705357142857144,5.0,22.0,0.4697045454545455,0.4697045454545455,0.2272727272727272,0.0,0.891,0.2272727272727272,22.0,4,5,"cheapness,quality,dividend,garp",0.544835,False,0.73335,0.583,hold,2,neutral,0.5,33.26636171462282
INGA.AS,ING Groep N.V.,Financial Services,84895637504.0,12.874459,10.269585,1.692658,3.8,,,0.17124,0.0060005405892422,0.34493,0.111,0.221,,101024071680.0,,,22903000000.0,262074007552.0,247878991872.0,17.57,1054405000000.0,,,,6327000000.0,-6380000000.0,,,2902437688.0,0.006263320088776,,,,0.169971690194944,0.1678779475672312,0.0217212551154442,0.0220999563958473,3096274533.0,36368000000.0,29.74,[],{},,,,,0.0776731666938393,,,0.7,14,20,0.5259740259740261,6.0,22.0,0.4779636363636364,0.4779636363636364,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"cheapness,quality,dividend,garp",0.55071,False,0.36665,0.5105,hold,2,neutral,0.375,50.434597452107724
ENEL.MI,Enel SpA,Utilities,94247510016.0,22.616667,12.643754,3.817926,5.49,0.721,147.743,0.122559994,0.0236486675585059,0.05711,0.085,0.318,-685750016.0,177444929536.0,20621000704.0,3571000000.0,67452000000.0,73377996800.0,4742000128.0,2.488,178657000000.0,34285000000.0,,47063000000.0,4225000000.0,13926000000.0,0.4683626875407697,,10033125071.0,0.0374908490480338,0.541111693017594,0.7284915963708221,0.8288398610804408,0.3832595420274604,0.3759344658248681,0.377550277906827,0.377521521435938,10154600276.0,2846000000.0,9.499,[],{},-0.0072760544642885,8.605059089182795,49.69054313525623,0.0201245536253855,0.0442151798936598,,0.027136495584905,1.0,20,20,0.4459724217491619,4.0,22.0,0.3779954545454545,0.3779954545454545,0.1818181818181818,0.0,1.0,0.1818181818181818,22.0,2,5,"dividend,garp",0.527535,False,0.53335,0.4972,hold,2,neutral,0.625,36.76176206096964
