ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,timing_signal,timing_score,rsi_14
ERF.PA,Eurofins Scientific SE,Healthcare,11472813056.0,23.055555,14.1308775,3.3112254,1.08,1.132,96.122,0.11328,0.0432210024213956,0.07171,0.025,0.284,339562496.0,15412604928.0,1537100032.0,818300000.0,7296100000.0,4471600128.0,617800000.0,20.053,10985400000.0,2653500000.0,,2429600000.0,474800000.0,1398900000.0,0.6811995449623771,,176696324.0,0.0373241247566217,0.6779168464969069,1.0921550872571617,1.1620699459766848,0.4034445718863218,0.3315730502185812,0.664163344074863,0.6383858050769626,186781812.0,157100000.0,66.4,[],{},0.0295971436423272,10.027066948886771,18.83490764756202,0.0530929069954553,0.043373495021048,,0.0956427218962575,1.0,20,20,0.3666666666666667,5.0,22.0,0.3858181818181819,0.3858181818181819,0.2272727272727272,0.0,1.0,0.2272727272727272,22.0,4,5,"quality,dividend,garp,risk",0.4904016666666666,True,0.8,0.3333,hold,2,1,improving,0.175,new,neutral,0.625,44.53941871673199
CS.PA,AXA SA,Financial Services,91201544192.0,13.108188,10.033708,1.9533769,5.18,1.928,113.518,0.13415,0.0154152616912573,0.10346,0.032,0.598,10821374976.0,89416343552.0,11971999744.0,,105925000000.0,60343001088.0,69054996480.0,22.95,635539000000.0,,,,9797000000.0,22352000000.0,,,2055372364.0,0.0120624936903643,,,,0.0951821996761803,0.0955240592142094,0.1666695513571944,0.1579504467986821,2175367655.0,627000000.0,44.83,[],{},0.1186534183370683,7.468789297027235,,,0.0762881948290641,,,0.9,18,20,0.2666666666666666,9.0,22.0,0.538290909090909,0.538290909090909,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6772416666666666,True,0.7,0.245,hold,2,14,stable,0.2302,persistent,wait,0.125,70.04100342778906
AI.PA,L'Air Liquide S.A.,Basic Materials,112243589120.0,31.920433,24.513466,4.2809334,1.91,1.173,50.657,0.13357,0.0677647774948279,0.13058,-0.034,0.053,1524087552.0,122643095552.0,7498899968.0,5234300000.0,26940200000.0,13650599936.0,3960800000.0,41.234,51913400000.0,10369600000.0,,8836800000.0,3517900000.0,6518400000.0,0.6417547011529239,,635735026.0,0.0637412637971755,0.6301177479322044,1.1734564548252762,0.880146771965711,0.2618957725750962,0.2389473176844845,0.518945012270435,0.5216715669735383,634089045.0,82700000.0,176.52,[],{},0.0135783928859455,16.35481151573617,23.430658455189807,0.0426791249555559,0.0313278958339944,,0.1215114470501386,1.0,20,20,0.2632085932085932,4.0,22.0,0.3864545454545454,0.3864545454545454,0.1818181818181818,0.0,1.0,0.1818181818181818,22.0,4,5,"quality,dividend,garp,risk",0.5003683333333333,True,0.83335,0.2331,hold,2,1,improving,0.1241,new,neutral,0.375,56.101011677855745
SAF.PA,Safran SA,Industrials,136673787904.0,19.19674,26.578468,9.266128,1.02,0.929,34.448,0.55648,0.1161063836671304,0.23010999,0.125,,-1703874944.0,136598306816.0,5904999936.0,4592000000.0,31189000000.0,5326000128.0,6848000000.0,35.592,61814000000.0,38355000000.0,,41281000000.0,7177000000.0,5721000000.0,0.4692038859854436,,416914220.0,-0.0121246273540318,0.4788208976764324,0.9291199341101232,0.84196047008547,0.0861455333743165,0.091943575947066,0.5045620733167243,0.503817348942049,416775120.0,135000000.0,329.8,[],{},-0.0124667280400306,23.13265170135304,29.747018034843205,0.033616814930111,0.0520921781510819,,0.2236399941557492,1.0,20,20,0.2624999999999999,6.0,22.0,0.3961681818181819,0.3961681818181819,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,3,5,"cheapness,quality,dividend",0.4187966666666666,False,0.56665,0.1761,hold,2,14,stable,0.1316,persistent,neutral,0.625,51.201789631216734
RMS.PA,Hermès International Société en commandite par actions,Consumer Cyclical,172087508992.0,38.164925,31.929901,9.142558,1.1,4.994,12.268,0.25207,0.1860044404243072,0.28271,0.039,0.018,4039624960.0,162323841024.0,7040999936.0,6695000000.0,16001000000.0,2312000000.0,12238999552.0,179.709,24322000000.0,15911000000.0,,3186000000.0,4524000000.0,5374000000.0,0.7110805574651584,,104836315.0,0.1994021833304453,0.702636783124588,4.994036409290646,4.2645356847616425,0.096455883562207,0.0941777854791197,0.6578817531453005,0.6571651360249523,104837768.0,55000000.0,1643.0,[],{},0.0234742485591315,23.054089262812344,24.24553263988051,0.0412447115455463,0.0262020690463822,,0.3167581377744133,1.0,20,20,0.25,6.0,22.0,0.4461090909090908,0.4461090909090908,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"cheapness,quality,garp,risk",0.5257083333333333,True,1.0,0.175,hold,2,14,stable,0.17,persistent,neutral,0.5,48.72260354842223
OR.PA,L'Oréal S.A.,Consumer Defensive,199489994752.0,32.782154,25.212477,5.722183,1.92,1.445,34.042,0.18003,0.0991116316085744,0.13909,0.01,0.004,5913287680.0,202110107648.0,9894500352.0,8891900000.0,44052000000.0,11916000256.0,9864999936.0,65.482,61821200000.0,22198500000.0,,15366500000.0,6127200000.0,8656900000.0,0.7431807863434123,,533783028.0,0.1137233955715183,0.7418297046460075,1.44460352064556,1.1255465974309922,0.1927510303908691,0.1507451191942278,0.7125710921172672,0.7716801470718715,534312021.0,374800000.0,374.7,[],{},0.0296420263449864,20.4265097233684,22.7296874287835,0.0439953256345118,0.030504401876704,,0.1914101264242369,1.0,20,20,0.2125,5.0,22.0,0.4592227272727273,0.4592227272727273,0.2272727272727272,0.0,1.0,0.2272727272727272,22.0,4,5,"cheapness,quality,garp,risk",0.558155,True,1.0,0.15,hold,2,14,stable,0.145,persistent,neutral,0.5,45.27952999470433
ORA.PA,Orange S.A.,Communication Services,42949550080.0,146.90909,14.470951,1.4446629,4.64,1.114,138.079,0.03212,0.0050086114602243,0.01332,,,2350000128.0,76861972480.0,10083999744.0,4160000000.0,40397000000.0,45780000768.0,15297000448.0,11.186,107415000000.0,28898000000.0,,25937000000.0,538000000.0,10780000000.0,0.5943263113597544,,2658599751.0,0.0226235631630629,0.5864527186467622,1.11416123684312,0.9208083993263338,0.0700274635758506,0.0709128367060092,0.3760834147930922,0.3875753316518089,2658220599.0,1341000000.0,16.16,[],{},0.0547153607807944,7.622171205005536,18.47643569230769,0.0541229930194994,0.0068069307351914,,0.0510567269692432,1.0,20,20,0.4064564564564564,3.0,22.0,0.3500045454545454,0.3500045454545454,0.1363636363636363,0.0,1.0,0.1363636363636363,22.0,3,5,"cheapness,quality,risk",0.3942616666666667,True,0.9,0.4665,avoid,1,14,stable,0.2619,persistent,neutral,0.625,44.08344691319048
EL.PA,EssilorLuxottica Société anonyme,Healthcare,75143225344.0,32.765533,20.168901,1.9473791,2.45,0.988,36.457,0.060700003,0.0362313170044604,0.08125,0.094,-0.077,3278374912.0,87189618688.0,5569999872.0,3377000000.0,28491000000.0,14398000128.0,3544000000.0,83.959,63895000000.0,12010000000.0,,10902000000.0,2315000000.0,5291000000.0,0.6055947492190517,,463190305.0,0.0366993886028096,0.6339595593783008,1.1016327279398277,1.106375949785266,0.2253384458877846,0.205603696386067,0.4459034353235777,0.4123897384837972,456708608.0,314000000.0,163.5,[],{},0.0436283496881035,15.653432799217128,25.81866114539532,0.0387316752936411,0.0305198758707816,,0.063725397694035,1.0,20,20,0.3666666666666667,3.0,22.0,0.4084818181818181,0.4084818181818181,0.1363636363636363,0.0,1.0,0.1363636363636363,22.0,2,5,"garp,risk",0.52244,True,1.0,0.4,avoid,1,14,stable,0.1533,persistent,neutral,0.625,41.35074980610086
STMPA.PA,STMicroelectronics N.V.,Technology,41719250944.0,103.922226,20.34582,2.660329,0.67,2.778,22.299,0.02686,0.0066935483870967,0.03558,0.261,,197624992.0,40138874880.0,2723000064.0,323000000.0,11800000000.0,4024999936.0,6032000000.0,17.578651,24800000000.0,11271000000.0,,3351000000.0,166000000.0,2152000000.0,0.3388983050847458,,888768152.0,0.0629268884128844,0.393398146054714,3.3634735899731423,3.109992048767559,0.0949193548387096,0.1279957967910116,0.4758064516129032,0.5362728852604777,898175408.0,55000000.0,46.765,[],{},0.0047370215794447,14.740680843406691,124.2689624767802,0.0080470616320374,0.0096225806402568,,0.0150589771084899,1.0,20,20,0.25,2.0,22.0,0.2815499999999999,0.2815499999999999,0.0909090909090909,0.0,1.0,0.0909090909090909,22.0,1,5,risk,0.3432333333333333,True,1.0,0.2667,avoid,1,9,stable,0.0517,persistent,insufficient_data,0.0,
AIR.PA,Airbus SE,Industrials,162208350208.0,32.551342,23.965488,6.216999,1.55,1.14,55.655,0.19748,0.0386915569257219,0.06913,-0.066,-0.265,-84125000.0,161090355200.0,7654000128.0,5236000000.0,73420000000.0,14570000384.0,15776000000.0,33.143,134939000000.0,73647000000.0,,63511000000.0,5221000000.0,7995000000.0,0.1493734677199673,,787227745.0,0.0327521224644579,0.1541961577350859,1.1595944009699106,1.1453078864457384,0.0816887630707208,0.0872590219250385,0.5440977034067245,0.5357820033587952,787956251.0,770000000.0,206.05,[],{},-0.0005186231158391,21.046557683046853,30.765919633307867,0.0325034977637196,0.0307206996258403,,0.0733045864366915,1.0,20,20,0.2518939393939394,3.0,22.0,0.3353272727272727,0.3353272727272727,0.1363636363636363,0.0,1.0,0.1363636363636363,22.0,3,5,"quality,garp,risk",0.4581,True,0.83335,0.1928,avoid,1,14,stable,0.1334,persistent,neutral,0.5,62.998402949028005
SU.PA,Schneider Electric S.E.,Industrials,151098245120.0,33.548183,23.123526,6.227638,1.57,1.191,81.411,0.15613,0.0666037373608089,0.10368,0.042,-0.062,3984000000.0,166234849280.0,7927000064.0,7010000000.0,40152000000.0,19908999168.0,4633999872.0,43.042,62504000000.0,22038000000.0,,18506000000.0,4163000000.0,6131000000.0,0.4207760510061765,,562222886.0,0.0647377280378508,0.426388488454381,1.1908570193450774,1.226020747100005,0.2860616920517086,0.2249063585217536,0.6423908869832331,0.5785754363617063,560971685.0,540000000.0,268.05,[],{},0.0263669508327907,20.970713755250955,23.713958527817404,0.0421692565088599,0.0298078736484774,,0.1593254238829037,1.0,20,20,0.2071969696969697,3.0,22.0,0.3453954545454545,0.3453954545454545,0.1363636363636363,0.0,1.0,0.1363636363636363,22.0,3,5,"cheapness,garp,risk",0.4551933333333333,True,0.9,0.1845,avoid,1,14,stable,0.1175,persistent,insufficient_data,0.0,
