Smith & Nephew plc
Date of transaction: 29 November 2016
29-Nov-2016 13:08:22 GMT 398 1121.0000 GBp XLON
29-Nov-2016 13:08:22 GMT 1281 1121.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 786 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 286 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 286 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 286 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 1159 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 286 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 286 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 1479 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 286 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 1932 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 64 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 286 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 100 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 1423 1120.0000 GBp XLON
29-Nov-2016 14:14:59 GMT 86 1120.0000 GBp XLON
29-Nov-2016 16:08:07 GMT 54 1124.0000 GBp XLON
29-Nov-2016 15:39:13 GMT 538 1123.0000 GBp XLON
29-Nov-2016 15:39:13 GMT 1841 1123.0000 GBp XLON
29-Nov-2016 10:25:31 GMT 286 1114.0000 GBp XLON
29-Nov-2016 10:25:31 GMT 286 1114.0000 GBp XLON
29-Nov-2016 10:25:31 GMT 100 1114.0000 GBp XLON
29-Nov-2016 10:25:31 GMT 286 1114.0000 GBp XLON
29-Nov-2016 13:47:12 GMT 555 1121.0000 GBp XLON
29-Nov-2016 13:47:12 GMT 750 1121.0000 GBp XLON
29-Nov-2016 10:25:31 GMT 8 1114.0000 GBp XLON
29-Nov-2016 16:23:54 GMT 800 1124.0000 GBp XLON
29-Nov-2016 16:23:54 GMT 927 1124.0000 GBp XLON
29-Nov-2016 13:51:01 GMT 1302 1120.0000 GBp XLON
29-Nov-2016 13:51:01 GMT 188 1120.0000 GBp XLON
29-Nov-2016 10:47:11 GMT 708 1116.0000 GBp XLON
29-Nov-2016 10:47:11 GMT 86 1116.0000 GBp XLON
29-Nov-2016 12:59:15 GMT 1546 1120.0000 GBp XLON
29-Nov-2016 15:08:53 GMT 750 1123.0000 GBp XLON
29-Nov-2016 15:08:53 GMT 1254 1123.0000 GBp XLON
29-Nov-2016 16:02:49 GMT 170 1126.0000 GBp XLON
29-Nov-2016 15:08:53 GMT 24 1123.0000 GBp XLON
29-Nov-2016 15:11:18 GMT 134 1122.0000 GBp XLON
29-Nov-2016 15:08:53 GMT 300 1123.0000 GBp XLON
29-Nov-2016 15:08:53 GMT 38 1123.0000 GBp XLON
29-Nov-2016 16:02:49 GMT 322 1126.0000 GBp XLON
29-Nov-2016 16:02:49 GMT 168 1126.0000 GBp XLON
29-Nov-2016 16:02:49 GMT 489 1126.0000 GBp XLON
29-Nov-2016 16:02:49 GMT 500 1126.0000 GBp XLON
29-Nov-2016 09:26:27 GMT 1313 1122.0000 GBp XLON
29-Nov-2016 14:18:06 GMT 1706 1120.0000 GBp XLON
29-Nov-2016 14:18:06 GMT 1349 1120.0000 GBp XLON
29-Nov-2016 10:06:41 GMT 942 1117.0000 GBp XLON
29-Nov-2016 13:29:31 GMT 1454 1120.0000 GBp XLON
29-Nov-2016 11:17:05 GMT 709 1117.0000 GBp XLON
29-Nov-2016 11:17:05 GMT 168 1117.0000 GBp XLON
29-Nov-2016 11:17:05 GMT 194 1117.0000 GBp XLON
29-Nov-2016 11:17:05 GMT 1162 1117.0000 GBp XLON
29-Nov-2016 11:17:05 GMT 800 1117.0000 GBp XLON
29-Nov-2016 09:52:11 GMT 178 1121.0000 GBp XLON
29-Nov-2016 09:52:11 GMT 1078 1121.0000 GBp XLON
29-Nov-2016 16:02:52 GMT 1998 1125.0000 GBp XLON
29-Nov-2016 13:53:52 GMT 383 1120.0000 GBp XLON
29-Nov-2016 13:53:52 GMT 10 1120.0000 GBp XLON
29-Nov-2016 13:53:52 GMT 286 1120.0000 GBp XLON
29-Nov-2016 13:53:52 GMT 452 1120.0000 GBp XLON
29-Nov-2016 13:53:52 GMT 55 1120.0000 GBp XLON
29-Nov-2016 13:53:52 GMT 268 1120.0000 GBp XLON
29-Nov-2016 15:41:16 GMT 1291 1123.0000 GBp XLON
29-Nov-2016 15:41:16 GMT 385 1123.0000 GBp XLON
29-Nov-2016 11:52:18 GMT 11 1118.0000 GBp XLON
29-Nov-2016 16:02:52 GMT 245 1125.0000 GBp XLON
29-Nov-2016 12:36:52 GMT 1244 1120.0000 GBp XLON
29-Nov-2016 15:41:16 GMT 232 1123.0000 GBp XLON
29-Nov-2016 09:18:51 GMT 980 1118.0000 GBp XLON
29-Nov-2016 09:47:11 GMT 750 1119.0000 GBp XLON
29-Nov-2016 16:20:07 GMT 1565 1123.0000 GBp XLON
29-Nov-2016 14:59:59 GMT 1452 1121.0000 GBp XLON
29-Nov-2016 13:43:05 GMT 1159 1120.0000 GBp XLON
29-Nov-2016 14:57:13 GMT 800 1121.0000 GBp XLON
29-Nov-2016 14:57:13 GMT 268 1121.0000 GBp XLON
29-Nov-2016 12:40:05 GMT 128 1120.0000 GBp XLON
29-Nov-2016 09:29:08 GMT 910 1121.0000 GBp XLON
29-Nov-2016 10:06:02 GMT 286 1118.0000 GBp XLON
29-Nov-2016 09:29:08 GMT 214 1121.0000 GBp XLON
29-Nov-2016 10:06:02 GMT 286 1118.0000 GBp XLON
29-Nov-2016 10:06:02 GMT 606 1118.0000 GBp XLON
29-Nov-2016 10:06:02 GMT 100 1118.0000 GBp XLON
29-Nov-2016 10:06:02 GMT 156 1118.0000 GBp XLON
29-Nov-2016 10:06:02 GMT 286 1118.0000 GBp XLON
29-Nov-2016 09:55:31 GMT 219 1120.0000 GBp XLON
29-Nov-2016 09:55:31 GMT 287 1120.0000 GBp XLON
29-Nov-2016 09:55:31 GMT 750 1120.0000 GBp XLON
29-Nov-2016 15:06:04 GMT 541 1123.0000 GBp XLON
