ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
MSTR,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
MDLZ,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
MPWR,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
MNST,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
NBIS,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
NFLX,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
NVDA,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
NXPI,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ORLY,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ODFL,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
PCAR,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
PLTR,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
PANW,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
PAYX,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
PYPL,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
PDD,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
PEP,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
QCOM,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
REGN,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
RKLB,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ROP,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ROST,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
SNDK,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
STX,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
SHOP,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
SPCX,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
SBUX,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
SNPS,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
TMUS,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
TTWO,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
TER,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
TSLA,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
TXN,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
TRI,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
VRTX,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
WMT,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
WBD,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
WDC,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
WDAY,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
XEL,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
