ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
3690.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
3692.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
6618.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
6690.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
6862.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
9618.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
9633.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
9888.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
9961.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
9988.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
9992.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
9999.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
