ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank
KMR.L,Kenmare Resources plc,Basic Materials,168609680.0,,-6.5520754,0.28200257,10.05,3.241,25.238,-0.32902,-0.29326986406919064,-0.98927003,-0.355,,-84761376.0,326716960.0,57820000.0,951000.0,328573000.0,205628992.0,48624000.0,6.744619,1108358000.0,231669000.0,,71489000.0,-325048000.0,,0.055890167481807695,,88648620.0,0.04956087859413939,0.2299618803752649,3.240624431730756,5.891507327568709,0.18552579581687506,0.060525357074937426,0.296450244415613,0.3167654330228157,88433446.0,13466000.0,190.2,[],{},-0.5027076499996916,5.6505873400207545,343.55095688748685,0.0029107763490453633,,,0.0009171843309039039,0.9,18,20,0.502857142857143,3.0,22.0,0.43799090909090915,0.43799090909090915,0.13636363636363635,0.0,1.0,0.13636363636363635,22.0,2,5,"cheapness,risk",0.399325,True,0.65,0.5848,hold,2
STB.L,Secure Trust Bank PLC,Financial Services,286820960.0,6.80531,4.6797504,0.78469384,2.31,,,0.12139,0.004785386353146938,0.13154,,,,29915798.0,,,204600000.0,308600000.0,572400000.0,19.6,4116700000.0,,,,19700000.0,,,,18636599.0,0.006431974589730016,,,,0.023101027522044355,0.02525145579671784,0.04970000242913013,0.04872948650079407,18801323.0,166500000.0,1538.0,[],{},,,,,0.1469440774924287,,,0.65,13,20,0.6246753246753247,4.0,22.0,0.45329090909090913,0.45329090909090913,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,2,5,"cheapness,dividend",0.36400333333333335,False,0.36665000000000003,0.5804,hold,2
SHI.L,SIG plc,Industrials,95777784.0,,-6.4352574,0.7932692,,1.516,499.253,-0.42691,-0.05617879053461876,-0.02474,-0.006,,66500000.0,614854080.0,39100000.0,32600000.0,2591000000.0,601600000.0,81300000.0,0.104,1141000000.0,700200000.0,,461900000.0,-64100000.0,,0.24203010420686993,,1155770418.0,-0.04124936343574945,0.24504173367026572,1.515912535180775,1.6269064420669246,0.5270815074496056,0.49711424206416566,2.2708150744960562,2.216771346121202,1160942897.0,53200000.0,8.25,[],{},0.694315500137276,15.725168286445014,18.860554601226994,0.05302071021469029,,,0.048004712118981004,0.85,17,20,0.5333333333333333,1.0,22.0,0.2609181818181818,0.2609181818181818,0.045454545454545456,0.0,1.0,0.045454545454545456,22.0,1,5,cheapness,0.18474333333333334,False,0.45,0.5727,hold,2
VID.L,Videndum Plc,Technology,164802944.0,,27.086094,0.13079211,,0.634,946.296,-1.40451,-0.29982517482517484,-0.30048,-0.114,,-16837500.0,144418816.0,-27600000.0,-19500000.0,228300000.0,153300000.0,11000000.0,31.271,228800000.0,119800000.0,,188900000.0,-68600000.0,,0.316688567674113,,518048.0,-0.42448743863701993,0.3288208051300321,0.6341979883536263,1.5883838383838385,0.6700174825174825,0.5495235345076523,0.9978146853146853,0.8105688709211666,470996.0,16900000.0,409.0,[],{},-0.10216747098886778,-5.232565797101449,-7.4060931282051286,-0.13502395698909483,,,-0.48872180451127817,0.85,17,20,0.4444444444444445,1.0,22.0,0.20173181818181815,0.20173181818181815,0.045454545454545456,0.0,1.0,0.045454545454545456,22.0,1,5,cheapness,0.13970833333333332,False,0.35,0.5455,hold,2
MER.L,Mears Group plc,Consumer Cyclical,349700928.0,8.157408,10.643952,1.888127,3.97,0.794,155.61,0.23421,0.0624532161609283,0.040710002,0.043,0.014,31529876.0,654237760.0,83403000.0,75028000.0,1135461000.0,318720992.0,48479000.0,2.333,740106000.0,222899000.0,,280869000.0,46222000.0,,0.23412428960571963,,82407805.0,0.06633825007663846,0.22362098347917458,0.7936048478116132,0.8390700706781846,0.43064236744466333,0.42418781056398774,1.5341869948358748,1.614768765728707,86304012.0,16078000.0,440.5,[],{},0.09016240300054337,7.84429528913828,8.719914698512556,0.11468002091472067,0.12258795931256596,,0.16337533778854926,0.95,19,20,0.5792857142857144,8.0,22.0,0.5624636363636363,0.5624636363636363,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,3,5,"cheapness,dividend,garp",0.5399716666666666,False,0.63335,0.5443,hold,2
DFS.L,DFS Furniture plc,Consumer Cyclical,331064800.0,9.533333,9.079365,1.1867219,0.7,0.269,150.969,0.1342,0.024603497356649046,0.0327,0.086,0.882,102912496.0,730698560.0,96100000.0,73000000.0,1030300000.0,420600000.0,20500000.0,1.205,983600000.0,88700000.0,,331000000.0,24200000.0,,0.564592837037756,,230688346.0,-0.0042044911610129,0.5579981764765475,0.26797583081570997,0.3491104397448808,0.4799715331435543,0.5654085045389393,1.0474786498576658,0.9432393693263258,230688346.0,37200000.0,143.0,[],{},0.31085302937672626,7.603522996878252,10.009569315068493,0.0999043983335618,0.10489510856276603,,0.11186025130248238,0.95,19,20,0.5797619047619048,8.0,22.0,0.5764181818181819,0.5764181818181819,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,3,5,"cheapness,dividend,garp",0.5720433333333333,False,0.43335,0.5364,hold,2
PCA.L,Palace Capital Plc,Real Estate,34812644.0,,16.216215,0.8567349,8.33,4.117,,0.043420002,-0.06665628002388928,0.28796,-0.308,,1648000.0,23623596.0,,-1194000.0,7597000.0,0.0,12781000.0,2.101,77022000.0,38638000.0,,3277000.0,-5134000.0,,0.27181782282479927,,28892535.0,0.012839497255128576,0.40596451491128727,11.79066219102838,7.063983721456025,0.0,0.07485192140999711,0.09863415647477344,0.11959151979196764,37554525.0,0.0,180.0,[],{},0.04733912195810235,,-19.785256281407037,-0.05054268621932072,,,-0.016190928198521935,0.8,16,20,0.4862637362637362,0.0,22.0,0.40952727272727285,0.40952727272727285,0.0,0.0,1.0,0.0,22.0,0,5,,0.3990866666666667,False,0.65,0.5357,hold,2
HFD.L,Halfords Group plc,Consumer Cyclical,521817120.0,15.966666,12.273869,1.0067255,3.76,0.888,48.296,0.06431,-0.02858601327207759,0.01826,0.068,,102575000.0,745680512.0,103300000.0,49500000.0,1715200000.0,248000000.0,19300000.0,2.379,1175400000.0,398600000.0,,455300000.0,-33600000.0,,0.5067047574626866,,217877712.0,0.013208284486127394,0.48488063660477454,0.875466725236108,0.9075993091537133,0.2385570869491237,0.2568190699491989,1.459247915603199,1.3259085580304806,218426598.0,9900000.0,239.5,[],{},0.19657269964619023,7.218591597289448,15.064252767676768,0.06638231682793394,0.0626304827820661,,0.0687404527149007,0.95,19,20,0.5125,3.0,22.0,0.4678863636363637,0.4678863636363637,0.13636363636363635,0.0,1.0,0.13636363636363635,22.0,2,5,"cheapness,dividend",0.428205,False,0.65,0.5333,hold,2
FORT.L,Forterra plc,Basic Materials,276194208.0,16.9,10.780639,1.212556,4.59,1.457,34.84,0.07401,0.04075761208343323,0.04404,0.048,0.15,38712500.0,360020256.0,49700000.0,36500000.0,386000000.0,81700000.0,6100000.0,1.115,417100000.0,124000000.0,,85100000.0,17000000.0,,0.31476683937823835,,210635720.0,0.03955696202531646,0.2991577112982864,1.4571092831962398,1.7545787545787546,0.1958762886597938,0.27350813743218805,0.9254375449532486,0.778254972875226,210913505.0,5100000.0,135.2,[],{},0.14016405441782473,7.243868329979879,9.863568657534246,0.10138318439504693,0.0591715976331361,,0.10993975903614457,0.95,19,20,0.5292857142857142,5.0,22.0,0.5669681818181819,0.5669681818181819,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,4,5,"cheapness,dividend,garp,risk",0.6164533333333334,True,0.83335,0.5307,hold,2
NRR.L,NewRiver REIT plc,Real Estate,349709440.0,11.599999,10.330789,0.7638758,8.25,2.862,113.046,0.0669,0.03101761252446184,0.24254,0.165,0.138,13525000.0,751509440.0,50500000.0,51200000.0,131000000.0,517300000.0,115500000.0,1.063,1022000000.0,139400000.0,,48700000.0,31700000.0,,0.5221374045801527,,430676667.0,0.02248363532871644,0.6209944751381216,2.862422997946612,1.5108695652173914,0.5061643835616438,0.48439426999335927,0.12818003913894324,0.08585523195142776,475459079.0,20300000.0,81.2,[],{},0.03867496399296513,14.88137504950495,14.67791875,0.06812955004264484,0.08620690398335379,,0.05260454125141272,0.95,19,20,0.5267857142857143,7.0,22.0,0.5596954545454544,0.5596954545454544,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,3,5,"cheapness,dividend,garp",0.59315,False,0.46665,0.5286,hold,2
JZCP.L,JZ Capital Partners Limited,Financial Services,104957408.0,29.0,,0.58293664,,363.166,,,0.019432615606069695,-1.38791,-0.671,,,-139398592.0,,,6973000.0,0.0,244356000.0,2.9848871,250095000.0,,,,4860000.0,,,,60320352.0,-0.00409528062474813,,,,,,0.02788140506607489,0.005819800391375223,67673293.0,0.0,174.0,[],{},,,,,0.034482758620689655,,,0.6,12,20,0.5274971941638609,0.0,22.0,0.23496818181818185,0.23496818181818185,0.0,0.0,1.0,0.0,22.0,0,5,,0.16207666666666667,False,0.36665000000000003,0.5275,hold,2
TPT.L,Topps Tiles Plc,Consumer Cyclical,67747304.0,11.533333,9.616452,18.210526,8.96,1.01,3158.989,1.27372,0.031869202152288806,0.017380001,-0.002,-0.717,16300905.0,170106032.0,19138000.0,12611000.0,295754000.0,118083000.0,15928000.0,0.019,187893000.0,79289000.0,,81380000.0,5988000.0,,0.5218052841212629,,196612174.0,-0.07803210374743295,0.5335404121450928,0.9743057262226591,1.048763056624519,0.5896547503100169,0.6044808736625933,1.5740554464509056,1.5073314134150795,196665093.0,7295000.0,34.6,[],{},0.24061333865034687,8.888391263454906,13.488702878439458,0.07413611293925192,0.0867052048180695,,0.11839869311727207,0.95,19,20,0.5615476190476191,7.0,22.0,0.49303636363636366,0.49303636363636366,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,3,5,"cheapness,dividend,garp",0.5278916666666666,False,0.33335,0.524,hold,2
CLIG.L,City of London Investment Group Plc,Financial Services,237976560.0,15.062501,12.01995,2.1269271,6.85,4.937,3.304,0.13956,0.11190393613936538,0.27955,0.057,0.144,23113500.0,208752960.0,32468000.0,24128000.0,73044000.0,4977000.0,32846000.0,2.26618,175883000.0,45009000.0,,10893000.0,19682000.0,,0.7559279338480915,,48929040.0,0.09563001827111654,0.7384274257411487,4.131919581382539,3.85882460302975,0.04779313520920157,0.03203312268468076,0.4152988065930192,0.38806845801833817,48849458.0,395000.0,482.0,[],{},0.09712511181773532,6.4294985832204015,8.651896551724137,0.11558159462744863,0.06639003708613862,,0.1462391660100612,0.95,19,20,0.5252525252525252,9.0,22.0,0.6540318181818182,0.6540318181818182,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7072766666666667,True,0.83335,0.5238,hold,2
STVG.L,STV Group plc,Communication Services,48980620.0,,6.422954,-5.752688,11.19,1.501,,,-0.030883261272390366,-0.02826,-0.11,,15625000.0,102780616.0,12300000.0,11600000.0,176900000.0,75700000.0,12300000.0,-0.186,161900000.0,82100000.0,,54700000.0,-5000000.0,,0.4629734313171283,,45776280.0,0.06364172068355922,0.45585106382978724,1.5009140767824498,1.4873096446700507,0.46757257566399013,0.3959929286977018,1.0926497838171711,1.107837360047142,45690455.0,6500000.0,107.0,[],{},0.3190037202469058,8.356147642276422,8.860397931034482,0.11286174817243749,,,0.10820895522388059,0.8,16,20,0.5384615384615384,2.0,22.0,0.43735,0.43735,0.09090909090909091,0.0,1.0,0.09090909090909091,22.0,1,5,cheapness,0.35843,False,0.45,0.5111,hold,2
MACF.L,Macfarlane Group PLC,Consumer Cyclical,105389784.0,16.95,8.049389,0.8874346,5.4,0.985,74.124,0.051810004,0.02273627220170342,0.021,0.095,-0.682,16247875.0,181910064.0,20794000.0,12495000.0,300810000.0,89365000.0,14383000.0,0.764,277794000.0,95312000.0,,96782000.0,6316000.0,,0.3728965127489113,,156935851.0,0.06289206296495782,0.3896360335309148,0.9848112252278316,1.1753772963674725,0.32169521299956083,0.23375760840072732,1.0828527613987342,1.0951925841631873,159269932.0,4968000.0,67.8,[],{},0.1541693547830025,8.748199672982592,14.55862857142857,0.06868778848871165,0.058997050147492625,,0.06902857269131328,0.95,19,20,0.48011904761904767,3.0,22.0,0.4890318181818183,0.4890318181818183,0.13636363636363635,0.0,1.0,0.13636363636363635,22.0,3,5,"cheapness,dividend,garp",0.5402349999999999,False,0.73335,0.5101,hold,2
APTD.L,Aptitude Software Group plc,Technology,105970592.0,28.285715,10.649741,2.030769,2.73,1.015,15.379,0.07177,0.03782523687772597,0.061950002,-0.076,-0.097,9513250.0,86687104.0,8637000.0,6585000.0,64954000.0,8337000.0,29661000.0,0.975,106384000.0,43456000.0,,42819000.0,4024000.0,,0.5569479939649599,,54579006.0,0.04338621572881002,0.4784278453543487,1.014876573483734,0.9404208854476871,0.07836704767634231,0.08819250237404494,0.6105617386073093,0.6102297378531664,56217740.0,312000.0,198.0,[],{},0.08977254746297916,10.036714599976843,13.164328625664389,0.07596285602066023,0.03535353446076933,,0.10359474553606544,0.95,19,20,0.5499999999999999,3.0,22.0,0.42579545454545453,0.42579545454545453,0.13636363636363635,0.0,0.8977,0.13636363636363635,22.0,2,5,"cheapness,garp",0.4793233333333333,False,0.73335,0.5,hold,2
