ticker,model_id,model_name,passed,score,reasons,failed_criteria
ADBE,graham_defensive,Graham Defensive,False,0.25,['P/E < 15: P/E=12.1'],"['valuation too rich on P/B or P/E×P/B', 'current ratio < 2', 'no dividend']"
ADBE,graham_enterprising,Graham Enterprising,False,0.8,"['P/E < 25: P/E=12.1', 'Debt/equity < 100%: D/E=61%', 'ROE > 8%: ROE=63.0%', 'Positive earnings growth: growth=7.9%']",['P/B >= 3']
ADBE,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
ADBE,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']"
ADBE,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']"
ADBE,earnings_yield,Earnings Yield,True,0.6867,['E/P=8.2% (P/E=12.1)'],[]
ADBE,fcf_yield,FCF Yield,True,1.0,['FCF yield=10.3%'],[]
ADBE,low_pe_high_yield,Low P/E + High Yield,False,0.0,[],"['P/E not below 12.0', 'yield below 4%']"
ADBE,lynch_peg,Lynch PEG,False,0.0,"['PEG=1.54', 'growth=7.9%']",['PEG 1.54 >= 1.0']
ADBE,neff_pegy,Neff PEGY,False,0.0,"['PEGY=nan', 'growth=7.9%', 'yield=nan%']",['PEGY nan >= 1.0']
ADBE,quality_value,Quality Value,True,1.0,"['ROE >= 12%: ROE=63.0%', 'Profit margin >= 5%: margin=28.7%', 'Debt/equity < 80%: D/E=61%', 'P/E < 20: P/E=12.1', 'FCF yield >= 3%: FCF yield=10.3%']",[]
ADBE,buffett_quality,Buffett Quality,True,0.75,"['ROE >= 15%: ROE=63.0%', 'margin >= 8%: margin=28.7%', 'P/E < 25.0: P/E=12.1']",['too much debt']
ADBE,economic_moat,Economic Moat,True,0.75,"['high ROE=63.0%', 'solid ROA=24.2%', 'wide margin=28.7%']",['leverage too high']
ADBE,high_dividend,High Dividend Yield,False,0.0,[],['could not rank yield']
ADBE,dividend_growth,Dividend Growth,False,0.6667,"['earnings growth: growth=7.9%', 'reasonable P/E: P/E=12.1']",['yield too low']
ADBE,magic_formula,Magic Formula,True,0.9493,"['earnings yield rank 96%', 'ROIC rank 94%']",[]
ADBE,acquirers_multiple,Acquirer's Multiple,True,0.8469,"['EV/EBIT=10.4', 'universe rank 85%']",[]
ADBE,dreman_contrarian,Dreman Contrarian,False,0.7356,['low P/E rank 96%'],['P/B not cheap vs universe']
ADBE,piotroski_f,Piotroski F-Score,True,0.7778,"['F-Score=7/9', 'positive net income', 'positive operating cash flow', 'ROA improving', 'OCF > net income', 'no share dilution', 'gross margin improving', 'asset turnover improving']","['leverage declining', 'current ratio improving']"
ADBE,composite_value,Composite Value,True,0.9257,"['top-tier on trailing_pe (percentile 100%)', 'top-tier on price_to_book (percentile 74%)', 'top-tier on fcf_yield (percentile 98%)', 'top-tier on ev_ebitda (percentile 98%)']",['missing dividend_yield']
ADBE,earnings_quality,Earnings Quality,True,1.0,"['FCF/NI=1.29', 'OCF/NI=1.41', 'ratio=-9.84%']",[]
ADBE,financial_health,Financial Health,False,0.8,"['D/E=61%', 'leverage=22.5%', 'ratio=0.1', 'coverage=33.1x']",['weak liquidity']
AMD,graham_defensive,Graham Defensive,False,0.25,['Current ratio >= 2: CR=2.73'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'no dividend']"
AMD,graham_enterprising,Graham Enterprising,False,0.6,"['Debt/equity < 100%: D/E=6%', 'ROE > 8%: ROE=8.1%', 'Positive earnings growth: growth=91.2%']","['P/E >= 25', 'P/B >= 3']"
AMD,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
AMD,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=6%'],['P/B too high']
AMD,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']"
AMD,earnings_yield,Earnings Yield,False,0.0466,['E/P=0.6% (P/E=178.8)'],['earnings yield 0.6% below 8%']
AMD,fcf_yield,FCF Yield,False,0.0843,['FCF yield=0.8%'],['FCF yield 0.8% below 5%']
AMD,low_pe_high_yield,Low P/E + High Yield,False,0.0,[],"['P/E not below 12.0', 'yield below 4%']"
AMD,lynch_peg,Lynch PEG,False,0.0,"['PEG=1.96', 'growth=91.2%']",['PEG 1.96 >= 1.0']
