ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
3988.HK,economic_moat,Economic Moat,False,0.25,['wide margin=43.3%'],"['ROE below 18%', 'ROA below 8%', 'leverage too high']",
3988.HK,high_dividend,High Dividend Yield,False,0.5584,"['yield=479.0%', 'universe rank 56%']",['not in top quartile for yield'],
3988.HK,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=479.0%', 'reasonable P/E: P/E=6.2']",['earnings not growing'],
3988.HK,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs'],
3988.HK,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT'],
3988.HK,dreman_contrarian,Dreman Contrarian,True,0.7889,"['low P/E rank 95%', 'low P/B rank 86%', 'dividend rank 56%']",[],
3988.HK,piotroski_f,Piotroski F-Score,False,0.3333,"['F-Score=3/9', 'positive net income', 'positive operating cash flow', 'OCF > net income']","['F-Score 3/9 below 7', 'ROA improving', 'leverage declining', 'current ratio improving', 'no share dilution', 'gross margin improving', 'asset turnover improving']","{'f_score': 3, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': False}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': False}]}"
3988.HK,composite_value,Composite Value,True,0.7,"['top-tier on trailing_pe (percentile 70%)', 'top-tier on price_to_book (percentile 100%)']","['missing fcf_yield', 'missing ev_ebitda']",
3988.HK,earnings_quality,Earnings Quality,False,0.6667,"['OCF/NI=3.34', 'ratio=-1.48%']",['weak free-cash conversion'],
3988.HK,financial_health,Financial Health,False,0.4,"['leverage=7.3%', 'insufficient data — skipped']","['high debt to equity', 'weak liquidity', 'weak interest coverage']",
0002.HK,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=413.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
0002.HK,graham_enterprising,Graham Enterprising,True,0.8,"['P/E < 25: P/E=18.7', 'P/B < 3: P/B=1.82', 'Debt/equity < 100%: D/E=54%', 'ROE > 8%: ROE=10.1%']",['negative earnings growth'],
0002.HK,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
0002.HK,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
0002.HK,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
0002.HK,earnings_yield,Earnings Yield,False,0.4449,['E/P=5.3% (P/E=18.7)'],['earnings yield 5.3% below 8%'],
0002.HK,fcf_yield,FCF Yield,False,0.1495,['FCF yield=1.5%'],['FCF yield 1.5% below 5%'],
0002.HK,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=413.0%'],['P/E not below 12.0'],
0002.HK,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth'],
